,Y,Yhat,confidence
0,0,0,0.9999
1,0,0,0.9997
2,0,0,0.6644
3,0,0,1.0
4,0,0,0.9997
5,0,0,1.0
6,0,0,0.9999
7,0,0,0.9993
8,0,684,0.2984
9,0,0,1.0
10,1,1,0.9999
11,1,1,0.9989
12,1,462,0.3643
13,1,1,0.979
14,1,1,0.9996
15,1,392,0.8146
16,1,1,0.9832
17,1,1,0.9998
18,1,1,0.9996
19,1,1,0.9967
20,10,10,0.89
21,10,10,0.8095
22,10,10,0.9978
23,10,10,0.5867
24,10,10,0.8767
25,10,10,0.7605
26,10,92,0.6132
27,10,10,0.9996
28,10,10,0.8435
29,10,15,0.4163
30,100,100,0.9999
31,100,100,0.9995
32,100,100,0.9962
33,100,100,0.9998
34,100,100,0.717
35,100,100,0.9967
36,100,100,0.9997
37,100,100,0.9813
38,100,100,0.9999
39,100,100,0.9991
40,101,101,0.3924
41,101,101,0.7563
42,101,386,0.6409
43,101,386,0.8096
44,101,101,0.7804
45,101,101,0.8957
46,101,101,0.6482
47,101,787,0.5353
48,101,386,0.416
49,101,101,0.8069
50,102,102,0.9888
51,102,102,0.9999
52,102,102,0.9983
53,102,102,0.9987
54,102,102,0.9985
55,102,102,0.9043
56,102,102,0.9993
57,102,102,0.9802
58,102,102,0.8861
59,102,102,0.999
60,103,103,0.9997
61,103,103,0.9997
62,103,103,0.9995
63,103,570,0.7383
64,103,103,0.9615
65,103,103,0.9963
66,103,103,0.9997
67,103,103,0.9939
68,103,868,0.5703
69,103,375,0.1819
70,104,104,0.9999
71,104,104,0.7866
72,104,104,0.6189
73,104,104,0.9984
74,104,104,0.9998
75,104,104,0.9783
76,104,104,0.9975
77,104,104,0.6553
78,104,104,0.9092
79,104,331,0.4702
80,105,105,0.9951
81,105,105,0.9958
82,105,105,0.9994
83,105,105,0.9966
84,105,105,0.9988
85,105,105,0.9987
86,105,105,0.9995
87,105,105,0.9951
88,105,105,0.9984
89,105,384,0.6582
90,106,106,0.3764
91,106,106,0.9709
92,106,106,0.7687
93,106,106,0.7671
94,106,172,0.1349
95,106,106,1.0
96,106,106,0.9982
97,106,106,0.8431
98,106,193,0.173
99,106,362,0.1334
100,107,107,0.888
101,107,107,0.9976
102,107,107,1.0
103,107,107,0.9999
104,107,107,0.9992
105,107,107,0.969
106,107,107,0.9993
107,107,107,0.9863
108,107,107,1.0
109,107,107,0.9986
110,108,108,0.5784
111,108,108,0.3437
112,108,115,0.5498
113,108,108,0.7522
114,108,108,0.9861
115,108,108,0.9709
116,108,393,0.9878
117,108,393,0.6885
118,108,116,0.2152
119,108,108,0.853
120,109,109,0.9998
121,109,109,0.9546
122,109,973,0.793
123,109,973,0.9607
124,109,109,0.9978
125,109,109,0.4252
126,109,735,0.3889
127,109,109,0.9815
128,109,973,0.9625
129,109,109,0.9659
130,11,11,0.9962
131,11,11,0.3363
132,11,10,0.373
133,11,11,0.995
134,11,13,0.7673
135,11,11,0.9445
136,11,376,0.1792
137,11,11,0.9938
138,11,11,0.9956
139,11,11,0.9975
140,110,79,0.7919
141,110,110,0.8164
142,110,110,0.9976
143,110,110,0.555
144,110,115,0.4993
145,110,115,0.3809
146,110,110,0.9999
147,110,111,0.9887
148,110,110,0.9996
149,110,110,0.9848
150,111,111,0.5537
151,111,700,0.3509
152,111,111,0.9647
153,111,111,1.0
154,111,111,0.9844
155,111,818,0.8655
156,111,619,0.3271
157,111,115,0.2481
158,111,111,0.7556
159,111,494,0.1334
160,112,112,0.9999
161,112,112,0.8382
162,112,447,0.2616
163,112,112,1.0
164,112,112,0.9999
165,112,327,0.9983
166,112,112,0.2636
167,112,112,0.9998
168,112,112,0.9415
169,112,995,0.3688
170,113,113,0.9986
171,113,113,0.9441
172,113,113,0.9996
173,113,113,0.9366
174,113,113,0.9999
175,113,113,0.9999
176,113,113,0.9999
177,113,113,0.8369
178,113,113,0.9222
179,113,666,0.51
180,114,629,0.7913
181,114,114,0.9805
182,114,115,0.2562
183,114,114,0.9944
184,114,114,1.0
185,114,114,0.9993
186,114,114,0.9995
187,114,738,0.8838
188,114,114,0.9709
189,114,114,0.9953
190,115,108,0.8067
191,115,110,0.3598
192,115,5,0.4814
193,115,32,0.6948
194,115,115,0.9423
195,115,115,0.9962
196,115,115,0.9877
197,115,110,0.7072
198,115,115,0.794
199,115,115,0.4489
200,116,116,0.9993
201,116,116,0.5581
202,116,116,0.636
203,116,116,0.9996
204,116,973,0.4624
205,116,116,1.0
206,116,116,0.9382
207,116,116,0.9989
208,116,116,0.7824
209,116,116,0.9965
210,117,117,0.9996
211,117,117,0.9798
212,117,117,0.9531
213,117,117,0.859
214,117,117,0.9999
215,117,117,0.8388
216,117,117,0.9993
217,117,117,1.0
218,117,117,1.0
219,117,117,0.9997
220,118,118,0.992
221,118,963,0.8172
222,118,118,0.3086
223,118,923,0.8665
224,118,118,0.9771
225,118,118,0.9582
226,118,909,0.4525
227,118,118,0.705
228,118,118,0.2538
229,118,118,0.5502
230,119,118,0.6897
231,119,71,0.5738
232,119,118,0.5375
233,119,119,0.963
234,119,119,0.9739
235,119,116,0.9475
236,119,120,0.7309
237,119,119,0.9352
238,119,119,0.9055
239,119,119,0.841
240,12,12,0.9263
241,12,12,0.6377
242,12,12,0.2834
243,12,10,0.6342
244,12,12,0.9614
245,12,12,0.9894
246,12,17,0.5023
247,12,12,0.9977
248,12,91,0.4808
249,12,12,0.9449
250,120,58,0.0894
251,120,120,0.985
