dataset,method,epsilon,n,model_error,m,num_policies,radius,violation_rate,mean_realized_error,q95_realized_error,mean_ucb,mean_budget_saved,mean_avg_cost,median_threshold,oracle_grid_budget_saved,oracle_grid_error
ImageNet,fixed_price_monotone_ucb,0.05,50000,0.21688,10000,202,0.012238734153404082,0.0,0.037161679999999996,0.04052,0.049340734153404085,0.62955616,0.37044384,0.125,0.67742,0.04926
ImageNet,fixed_price_monotone_ucb,0.1,50000,0.21688,10000,202,0.012238734153404082,0.0,0.087333,0.09252,0.09931953415340408,0.78484544,0.21515456,0.34500000000000003,0.81178,0.09938
ImageNet,fixed_price_monotone_ucb,0.15,50000,0.21688,10000,202,0.012238734153404082,0.0,0.13715152,0.14316,0.14908053415340408,0.88508036,0.11491963999999999,0.51,0.90694,0.14978
ImageNet,original_pac_hoeffding,0.05,50000,0.21688,10000,202,0.012238734153404082,0.0,0.03774716,0.041241999999999994,0.04992833415340408,0.63229612,0.36770388000000004,0.12758180499076843,0.67742,0.04926
ImageNet,original_pac_hoeffding,0.1,50000,0.21688,10000,202,0.012238734153404082,0.0,0.08793972,0.092981,0.09992833415340407,0.78636212,0.21363788,0.3457843065261841,0.81178,0.09938
ImageNet,original_pac_hoeffding,0.15,50000,0.21688,10000,202,0.012238734153404082,0.0,0.13800971999999997,0.14379099999999997,0.1499301341534041,0.88663932,0.11336068,0.5136667340993881,0.90694,0.14978
ImageNetV2,fixed_price_monotone_ucb,0.05,10000,0.3533,2000,202,0.027366641525559867,0.0,0.0217954,0.0279,0.04874864152555986,0.364182,0.635818,0.035,0.4777,0.0489
ImageNetV2,fixed_price_monotone_ucb,0.1,10000,0.3533,2000,202,0.027366641525559867,0.0,0.0717596,0.0814,0.09893764152555987,0.545725,0.45427500000000004,0.185,0.616,0.0998
ImageNetV2,fixed_price_monotone_ucb,0.15,10000,0.3533,2000,202,0.027366641525559867,0.0,0.1219352,0.1345,0.14892964152555987,0.664782,0.335218,0.335,0.7155,0.1488
ImageNetV2,original_pac_hoeffding,0.05,10000,0.3533,2000,202,0.027366641525559867,0.0,0.0227988,0.0287,0.04980064152555986,0.3706014,0.6293986,0.0393,0.4777,0.0489
ImageNetV2,original_pac_hoeffding,0.1,10000,0.3533,2000,202,0.027366641525559867,0.0,0.07258020000000001,0.0822,0.09981264152555987,0.5478732,0.4521268,0.18910000000000005,0.616,0.0998
ImageNetV2,original_pac_hoeffding,0.15,10000,0.3533,2000,202,0.027366641525559867,0.0,0.1228144,0.13491499999999998,0.14979164152555988,0.6665264,0.3334736,0.33645,0.7155,0.1488
