dataset,epsilon,audit_prob,n,model_error,trials,eta,rho,init_lambda,theory_h_bound_delta_0_05,violation_rate_final,violation_rate_counterfactual,mean_final_error,q95_final_error,mean_counterfactual_ai_error,mean_ipw_error_estimate,mean_centered_update_estimate,mean_budget_saved,mean_expert_query_rate,mean_audit_rate,mean_deferral_rate,mean_ai_attempt_rate,mean_released_ai_rate,mean_final_lambda
ImageNet,0.05,0.1,50000,0.21688,500,1.0,0.01,20.0,0.16165656610223947,0.01,0.268,0.04364084,0.047941000000000004,0.04850164,0.048608,-0.00141019799999952,0.5737719600000001,0.42622804000000003,0.06379288,0.36243516,0.63756484,0.5737719600000001,10.722699999999719
ImageNet,0.05,0.2,50000,0.21688,500,1.0,0.01,20.0,0.10682828305111974,0.0,0.348,0.03942248,0.042441,0.04931796,0.049477400000000005,-0.0005178500000001849,0.5243756399999999,0.47562436,0.13107016,0.3445542,0.6554458,0.5243756399999999,8.452699999999583
ImageNet,0.05,0.5,50000,0.21688,500,1.0,0.01,20.0,0.0739313132204479,0.0,0.37,0.02486776,0.026500999999999997,0.04973652,0.04973751999999999,-0.0002708080000002125,0.33444432,0.6655556800000001,0.33461088,0.3309448,0.6690552,0.33444432,6.708400000001597
ImageNet,0.1,0.1,50000,0.21688,500,1.0,0.01,10.0,0.21164656610223948,0.0,0.0,0.07796407999999999,0.082188,0.08660504000000001,0.0864096,-0.013541748000003283,0.66285988,0.33714012000000004,0.07359704,0.26354308,0.73645692,0.66285988,6.011800000000009
ImageNet,0.1,0.2,50000,0.21688,500,1.0,0.01,10.0,0.15682328305111973,0.0,0.0,0.07365532,0.076881,0.09206312,0.092039,-0.007956716000001288,0.61146716,0.38853284000000005,0.15285608,0.23567676,0.7643232400000001,0.61146716,4.5116000000000165
ImageNet,0.1,0.5,50000,0.21688,500,1.0,0.01,10.0,0.1239293132204479,0.0,0.05,0.04904824,0.05104,0.09807164,0.0980468,-0.001965448000000446,0.39520772,0.60479228,0.39533019999999996,0.20946208000000002,0.79053792,0.39520772,3.400199999999996
ImageNet,0.15,0.1,50000,0.21688,500,1.0,0.01,6.666666666666667,0.26163656610223945,0.0,0.0,0.10172512,0.106282,0.11300916,0.11284040000000001,-0.03707023600000637,0.71591936,0.28408064,0.0794804,0.20460024000000002,0.79539976,0.71591936,4.478499999999995
ImageNet,0.15,0.2,50000,0.21688,500,1.0,0.01,6.666666666666667,0.20681828305111974,0.0,0.0,0.09788071999999999,0.10108,0.12230448,0.1221188,-0.02785163800000213,0.66258172,0.33741827999999996,0.16559616,0.17182212000000002,0.8281778799999999,0.66258172,3.024199999999997
ImageNet,0.15,0.5,50000,0.21688,500,1.0,0.01,6.666666666666667,0.1739273132204479,0.0,0.0,0.06829859999999999,0.07042,0.136692,0.1367868,-0.013221743999996604,0.43297811999999997,0.56702188,0.43303508,0.1339868,0.8660132,0.43297811999999997,2.2177000000000016
ImageNetV2,0.05,0.1,10000,0.3533,500,1.0,0.01,20.0,0.30572468306808165,0.184,0.424,0.044489400000000005,0.05451499999999999,0.0494214,0.04932,-0.0006783000000001552,0.41397280000000003,0.5860272,0.045993200000000005,0.540034,0.459966,0.41397280000000003,14.963499999998856
ImageNetV2,0.05,0.2,10000,0.3533,500,1.0,0.01,20.0,0.18286234153404082,0.01,0.402,0.039254399999999995,0.04620999999999999,0.049065399999999995,0.049055,-0.0009175200000001757,0.37503519999999996,0.6249648,0.0936214,0.5313434,0.46865660000000003,0.37503519999999996,10.972799999997699
ImageNetV2,0.05,0.5,10000,0.3533,500,1.0,0.01,20.0,0.10914493661361634,0.0,0.296,0.0244124,0.02810999999999999,0.0488984,0.048972,-0.0010381900000001846,0.23719020000000002,0.7628098,0.237394,0.5254158,0.4745842,0.23719020000000002,9.618099999998194
ImageNetV2,0.1,0.1,10000,0.3533,500,1.0,0.01,10.0,0.35567468306808164,0.04,0.288,0.0863024,0.099405,0.09581579999999999,0.095134,-0.004789680000000297,0.5091372,0.4908628,0.056485999999999995,0.4343768,0.5656232,0.5091372,7.548200000000014
ImageNetV2,0.1,0.2,10000,0.3533,500,1.0,0.01,10.0,0.23283734153404084,0.0,0.332,0.078341,0.087305,0.0979328,0.097959,-0.00195798000000004,0.4681294,0.5318706,0.11682479999999999,0.41504579999999996,0.5849542,0.4681294,6.008000000000081
ImageNetV2,0.1,0.5,10000,0.3533,500,1.0,0.01,10.0,0.15913493661361633,0.0,0.434,0.0499038,0.054805,0.0995928,0.099378,-0.0006102799999999186,0.301033,0.698967,0.3009158,0.3980512,0.6019488,0.301033,4.695400000000285
ImageNetV2,0.15,0.1,10000,0.3533,500,1.0,0.01,6.666666666666667,0.40562468306808164,0.0,0.012,0.11973220000000001,0.13230999999999998,0.1330822,0.1335,-0.01660278000000108,0.57309,0.42691,0.0637528,0.3631572,0.6368428,0.57309,5.818099999999991
ImageNetV2,0.15,0.2,10000,0.3533,500,1.0,0.01,6.666666666666667,0.2828123415340408,0.0,0.066,0.112609,0.12290999999999999,0.14074799999999998,0.140695,-0.00931343000000032,0.5329638,0.4670362,0.13325499999999998,0.3337812,0.6662188,0.5329638,4.196999999999987
ImageNetV2,0.15,0.5,10000,0.3533,500,1.0,0.01,6.666666666666667,0.20912493661361634,0.0,0.26,0.0738816,0.0798,0.147887,0.1480108,-0.0020866400000001113,0.3465272,0.6534728,0.3471768,0.306296,0.693704,0.3465272,3.2781000000000002
