dataset,trial,epsilon,alpha,n,num_policies,oracle_lp_saved,oracle_lp_error,method,m,radius,alpha_used,selected_threshold,empirical_loss,ucb,realized_error,budget_saved,avg_cost,violated,chosen_source
ImageNet,0,0.05,0.05,50000,202,0.67742,0.04926,lp_two_source_monotone_ucb,10000,0.012238734153404082,0.05,0.135,0.0377,0.04993873415340408,0.03934,0.6392,0.3608,0.0,
ImageNet,0,0.05,0.05,50000,202,0.67742,0.04926,single_A_monotone_pac,10000,0.012238734153404082,0.05,0.29811549186706543,0.0377,0.04993873415340408,0.03878,0.37682,0.6231800000000001,0.0,
ImageNet,0,0.05,0.05,50000,202,0.67742,0.04926,single_B_monotone_pac,10000,0.012238734153404082,0.05,0.3147048354148865,0.0377,0.04993873415340408,0.03968,0.38548,0.61452,0.0,
ImageNet,0,0.05,0.05,50000,202,0.67742,0.04926,best_of_singles_bonferroni,10000,0.013581015157406196,0.025,0.3087301254272461,0.0364,0.049981015157406196,0.03888,0.38372,0.6162799999999999,0.0,B
ImageNet,1,0.05,0.05,50000,202,0.67742,0.04926,lp_two_source_monotone_ucb,10000,0.012238734153404082,0.05,0.12,0.0363,0.04853873415340408,0.03604,0.62426,0.37573999999999996,0.0,
ImageNet,1,0.05,0.05,50000,202,0.67742,0.04926,single_A_monotone_pac,10000,0.012238734153404082,0.05,0.2826920747756958,0.0375,0.04973873415340408,0.03672,0.37188,0.62812,0.0,
ImageNet,1,0.05,0.05,50000,202,0.67742,0.04926,single_B_monotone_pac,10000,0.012238734153404082,0.05,0.2833073139190674,0.0377,0.04993873415340408,0.0358,0.376,0.624,0.0,
ImageNet,1,0.05,0.05,50000,202,0.67742,0.04926,best_of_singles_bonferroni,10000,0.013581015157406196,0.025,0.2763240337371826,0.0364,0.049981015157406196,0.03478,0.3735,0.6265000000000001,0.0,B
ImageNet,2,0.05,0.05,50000,202,0.67742,0.04926,lp_two_source_monotone_ucb,10000,0.012238734153404082,0.05,0.13,0.0368,0.04903873415340408,0.0382,0.6345,0.36550000000000005,0.0,
ImageNet,2,0.05,0.05,50000,202,0.67742,0.04926,single_A_monotone_pac,10000,0.012238734153404082,0.05,0.2969890236854553,0.0377,0.04993873415340408,0.03862,0.37642,0.62358,0.0,
ImageNet,2,0.05,0.05,50000,202,0.67742,0.04926,single_B_monotone_pac,10000,0.012238734153404082,0.05,0.3169595003128052,0.0377,0.04993873415340408,0.03994,0.38616,0.6138399999999999,0.0,
ImageNet,2,0.05,0.05,50000,202,0.67742,0.04926,best_of_singles_bonferroni,10000,0.013581015157406196,0.025,0.3022651672363281,0.0364,0.049981015157406196,0.03798,0.38162,0.6183799999999999,0.0,B
ImageNet,3,0.05,0.05,50000,202,0.67742,0.04926,lp_two_source_monotone_ucb,10000,0.012238734153404082,0.05,0.125,0.0364,0.048638734153404084,0.03704,0.6294,0.37060000000000004,0.0,
ImageNet,3,0.05,0.05,50000,202,0.67742,0.04926,single_A_monotone_pac,10000,0.012238734153404082,0.05,0.2778416872024536,0.0377,0.04993873415340408,0.03618,0.37044,0.62956,0.0,
ImageNet,3,0.05,0.05,50000,202,0.67742,0.04926,single_B_monotone_pac,10000,0.012238734153404082,0.05,0.30738598108291626,0.0377,0.04993873415340408,0.03874,0.38336,0.6166400000000001,0.0,
ImageNet,3,0.05,0.05,50000,202,0.67742,0.04926,best_of_singles_bonferroni,10000,0.013581015157406196,0.025,0.2922895550727844,0.0364,0.049981015157406196,0.03702,0.3787,0.6213,0.0,B
ImageNet,4,0.05,0.05,50000,202,0.67742,0.04926,lp_two_source_monotone_ucb,10000,0.012238734153404082,0.05,0.12,0.0376,0.049838734153404084,0.03604,0.62426,0.37573999999999996,0.0,
ImageNet,4,0.05,0.05,50000,202,0.67742,0.04926,single_A_monotone_pac,10000,0.012238734153404082,0.05,0.2827855348587036,0.0377,0.04993873415340408,0.03674,0.3719,0.6281,0.0,
ImageNet,4,0.05,0.05,50000,202,0.67742,0.04926,single_B_monotone_pac,10000,0.012238734153404082,0.05,0.2783891558647156,0.0377,0.04993873415340408,0.03506,0.37414,0.6258600000000001,0.0,
ImageNet,4,0.05,0.05,50000,202,0.67742,0.04926,best_of_singles_bonferroni,10000,0.013581015157406196,0.025,0.26409852504730225,0.0364,0.049981015157406196,0.0334,0.36978,0.63022,0.0,B
ImageNet,5,0.05,0.05,50000,202,0.67742,0.04926,lp_two_source_monotone_ucb,10000,0.012238734153404082,0.05,0.12,0.0376,0.049838734153404084,0.03604,0.62426,0.37573999999999996,0.0,
ImageNet,5,0.05,0.05,50000,202,0.67742,0.04926,single_A_monotone_pac,10000,0.012238734153404082,0.05,0.30082499980926514,0.0377,0.04993873415340408,0.03902,0.37772,0.6222799999999999,0.0,
ImageNet,5,0.05,0.05,50000,202,0.67742,0.04926,single_B_monotone_pac,10000,0.012238734153404082,0.05,0.2869907021522522,0.0377,0.04993873415340408,0.03626,0.3772,0.6228,0.0,
ImageNet,5,0.05,0.05,50000,202,0.67742,0.04926,best_of_singles_bonferroni,10000,0.013581015157406196,0.025,0.2826862335205078,0.0364,0.049981015157406196,0.03568,0.37576,0.62424,0.0,B
ImageNet,6,0.05,0.05,50000,202,0.67742,0.04926,lp_two_source_monotone_ucb,10000,0.012238734153404082,0.05,0.125,0.0374,0.049638734153404085,0.03704,0.6294,0.37060000000000004,0.0,
ImageNet,6,0.05,0.05,50000,202,0.67742,0.04926,single_A_monotone_pac,10000,0.012238734153404082,0.05,0.3035085201263428,0.0377,0.04993873415340408,0.03926,0.37836,0.62164,0.0,
ImageNet,6,0.05,0.05,50000,202,0.67742,0.04926,single_B_monotone_pac,10000,0.012238734153404082,0.05,0.2816925644874573,0.0377,0.04993873415340408,0.03554,0.37526,0.6247400000000001,0.0,
ImageNet,6,0.05,0.05,50000,202,0.67742,0.04926,best_of_singles_bonferroni,10000,0.013581015157406196,0.025,0.294413685798645,0.0364,0.049981015157406196,0.03836,0.37566,0.62434,0.0,A
ImageNet,7,0.05,0.05,50000,202,0.67742,0.04926,lp_two_source_monotone_ucb,10000,0.012238734153404082,0.05,0.13,0.0368,0.04903873415340408,0.0382,0.6345,0.36550000000000005,0.0,
ImageNet,7,0.05,0.05,50000,202,0.67742,0.04926,single_A_monotone_pac,10000,0.012238734153404082,0.05,0.2910066246986389,0.0377,0.04993873415340408,0.03788,0.37448,0.6255200000000001,0.0,
ImageNet,7,0.05,0.05,50000,202,0.67742,0.04926,single_B_monotone_pac,10000,0.012238734153404082,0.05,0.31629329919815063,0.0377,0.04993873415340408,0.03986,0.38606,0.6139399999999999,0.0,
ImageNet,7,0.05,0.05,50000,202,0.67742,0.04926,best_of_singles_bonferroni,10000,0.013581015157406196,0.025,0.30658215284347534,0.0363,0.04988101515740619,0.03866,0.38312,0.61688,0.0,B
ImageNet,8,0.05,0.05,50000,202,0.67742,0.04926,lp_two_source_monotone_ucb,10000,0.012238734153404082,0.05,0.125,0.0375,0.04973873415340408,0.03704,0.6294,0.37060000000000004,0.0,
ImageNet,8,0.05,0.05,50000,202,0.67742,0.04926,single_A_monotone_pac,10000,0.012238734153404082,0.05,0.2802140712738037,0.0377,0.04993873415340408,0.0365,0.37124,0.62876,0.0,
ImageNet,8,0.05,0.05,50000,202,0.67742,0.04926,single_B_monotone_pac,10000,0.012238734153404082,0.05,0.3056793808937073,0.0377,0.04993873415340408,0.03852,0.38276,0.61724,0.0,
ImageNet,8,0.05,0.05,50000,202,0.67742,0.04926,best_of_singles_bonferroni,10000,0.013581015157406196,0.025,0.29506510496139526,0.0364,0.049981015157406196,0.03734,0.37956,0.62044,0.0,B
ImageNet,9,0.05,0.05,50000,202,0.67742,0.04926,lp_two_source_monotone_ucb,10000,0.012238734153404082,0.05,0.125,0.0372,0.04943873415340408,0.03704,0.6294,0.37060000000000004,0.0,
