dataset,method,epsilon,n,model_error,m,num_policies,radius,violation_rate,mean_realized_error,q95_realized_error,mean_ucb,mean_budget_saved,mean_avg_cost,median_threshold,oracle_grid_budget_saved,oracle_grid_error
ImageNet,fixed_price_uniform_ucb,0.05,50000,0.21688,10000,202,0.020376456967484798,0.0,0.029048960000000002,0.03152,0.049379456967484796,0.5897749999999999,0.41022499999999995,0.09,0.67742,0.04926
ImageNet,fixed_price_uniform_ucb,0.1,50000,0.21688,10000,202,0.020376456967484798,0.0,0.07925464,0.0841,0.0993400569674848,0.7644721600000001,0.23552784,0.31,0.81178,0.09938
ImageNet,fixed_price_uniform_ucb,0.15,50000,0.21688,10000,202,0.020376456967484798,0.0,0.12899208,0.13516,0.1490866569674848,0.8704665199999999,0.12953348,0.485,0.90694,0.14978
ImageNet,original_pac_hoeffding,0.05,50000,0.21688,10000,202,0.012238734153404082,0.0,0.03774716,0.041241999999999994,0.04992833415340408,0.63229612,0.36770388000000004,0.12758180499076843,0.67742,0.04926
ImageNet,original_pac_hoeffding,0.1,50000,0.21688,10000,202,0.012238734153404082,0.0,0.08793972,0.092981,0.09992833415340407,0.78636212,0.21363788,0.3457843065261841,0.81178,0.09938
ImageNet,original_pac_hoeffding,0.15,50000,0.21688,10000,202,0.012238734153404082,0.0,0.13800971999999997,0.14379099999999997,0.1499301341534041,0.88663932,0.11336068,0.5136667340993881,0.90694,0.14978
ImageNetV2,fixed_price_uniform_ucb,0.05,10000,0.3533,2000,202,0.04556314291989523,0.0,0.0019096000000000002,0.0051,0.04694614291989523,0.0935732,0.9064268,0.0,0.4777,0.0489
ImageNetV2,fixed_price_uniform_ucb,0.1,10000,0.3533,2000,202,0.04556314291989523,0.0,0.0533508,0.0615,0.09870114291989524,0.4923304,0.5076696,0.13,0.616,0.0998
ImageNetV2,fixed_price_uniform_ucb,0.15,10000,0.3533,2000,202,0.04556314291989523,0.0,0.103593,0.1149,0.14861014291989522,0.6250428,0.3749572,0.28,0.7155,0.1488
ImageNetV2,original_pac_hoeffding,0.05,10000,0.3533,2000,202,0.027366641525559867,0.0,0.0227988,0.0287,0.04980064152555986,0.3706014,0.6293986,0.0393,0.4777,0.0489
ImageNetV2,original_pac_hoeffding,0.1,10000,0.3533,2000,202,0.027366641525559867,0.0,0.07258020000000001,0.0822,0.09981264152555987,0.5478732,0.4521268,0.18910000000000005,0.616,0.0998
ImageNetV2,original_pac_hoeffding,0.15,10000,0.3533,2000,202,0.027366641525559867,0.0,0.1228144,0.13491499999999998,0.14979164152555988,0.6665264,0.3334736,0.33645,0.7155,0.1488
