dataset,trial,epsilon,alpha,n,model_error,num_policies,oracle_grid_budget_saved,oracle_grid_error,method,m,radius,selected_threshold,empirical_loss,ucb,realized_error,budget_saved,avg_cost,violated
ImageNet,0,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.095,0.0273,0.0476764569674848,0.03016,0.5965,0.40349999999999997,0.0
ImageNet,0,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.1357957124710083,0.0377,0.04993873415340408,0.03946,0.63982,0.36017999999999994,0.0
ImageNet,1,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.09,0.0295,0.0498764569674848,0.02906,0.59012,0.40988,0.0
ImageNet,1,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.12492507696151733,0.0377,0.04993873415340408,0.03702,0.62932,0.37068,0.0
ImageNet,2,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.095,0.0293,0.049676456967484794,0.03016,0.5965,0.40349999999999997,0.0
ImageNet,2,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.13313716650009155,0.0377,0.04993873415340408,0.03886,0.63758,0.36241999999999996,0.0
ImageNet,3,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.095,0.0283,0.048676456967484794,0.03016,0.5965,0.40349999999999997,0.0
ImageNet,3,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.12894082069396973,0.0377,0.04993873415340408,0.0379,0.63352,0.36648000000000003,0.0
ImageNet,4,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.085,0.0293,0.049676456967484794,0.02792,0.5836,0.4164,0.0
ImageNet,4,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.12354469299316406,0.0377,0.04993873415340408,0.03662,0.62764,0.37236,0.0
ImageNet,5,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.08,0.0283,0.048676456967484794,0.02678,0.57718,0.42282,0.0
ImageNet,5,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.12200134992599487,0.0377,0.04993873415340408,0.0364,0.62622,0.37378,0.0
ImageNet,6,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.08,0.029,0.0493764569674848,0.02678,0.57718,0.42282,0.0
ImageNet,6,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.12546300888061523,0.0377,0.04993873415340408,0.03712,0.62994,0.37005999999999994,0.0
ImageNet,7,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.09,0.0293,0.049676456967484794,0.02906,0.59012,0.40988,0.0
ImageNet,7,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.13429301977157593,0.0377,0.04993873415340408,0.0392,0.63866,0.36134,0.0
ImageNet,8,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.09,0.0296,0.0499764569674848,0.02906,0.59012,0.40988,0.0
ImageNet,8,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.12628048658370972,0.0377,0.04993873415340408,0.0373,0.63082,0.36917999999999995,0.0
ImageNet,9,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.09,0.0288,0.049176456967484794,0.02906,0.59012,0.40988,0.0
ImageNet,9,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.12988322973251343,0.0377,0.04993873415340408,0.03816,0.6344,0.36560000000000004,0.0
ImageNet,10,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.09,0.0293,0.049676456967484794,0.02906,0.59012,0.40988,0.0
ImageNet,10,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.11976951360702515,0.0377,0.04993873415340408,0.036,0.62412,0.37588,0.0
ImageNet,11,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.105,0.0289,0.0492764569674848,0.03278,0.60856,0.39144,0.0
ImageNet,11,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.15044361352920532,0.0377,0.04993873415340408,0.04288,0.65392,0.34608000000000005,0.0
ImageNet,12,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.08,0.0287,0.0490764569674848,0.02678,0.57718,0.42282,0.0
ImageNet,12,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.12306016683578491,0.0377,0.04993873415340408,0.03658,0.6271,0.3729,0.0
ImageNet,13,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.09,0.0296,0.0499764569674848,0.02906,0.59012,0.40988,0.0
ImageNet,13,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.12757480144500732,0.0377,0.04993873415340408,0.0377,0.6324,0.36760000000000004,0.0
ImageNet,14,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.085,0.0294,0.0497764569674848,0.02792,0.5836,0.4164,0.0
ImageNet,14,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.13277000188827515,0.0377,0.04993873415340408,0.03876,0.63718,0.36282000000000003,0.0
ImageNet,15,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.09,0.029,0.0493764569674848,0.02906,0.59012,0.40988,0.0
ImageNet,15,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.13189446926116943,0.0377,0.04993873415340408,0.03862,0.6362,0.3638,0.0
ImageNet,16,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.08,0.0293,0.049676456967484794,0.02678,0.57718,0.42282,0.0
ImageNet,16,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.1153566837310791,0.0377,0.04993873415340408,0.03484,0.61952,0.38048000000000004,0.0
ImageNet,17,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.09,0.0295,0.0498764569674848,0.02906,0.59012,0.40988,0.0
ImageNet,17,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.12226080894470215,0.0377,0.04993873415340408,0.03644,0.62644,0.37356,0.0
ImageNet,18,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.085,0.028,0.0483764569674848,0.02792,0.5836,0.4164,0.0
ImageNet,18,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.12721037864685059,0.0377,0.04993873415340408,0.03758,0.63198,0.36802,0.0
ImageNet,19,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.095,0.0294,0.0497764569674848,0.03016,0.5965,0.40349999999999997,0.0
ImageNet,19,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.12974601984024048,0.0377,0.04993873415340408,0.03814,0.63428,0.36572000000000005,0.0
ImageNet,20,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.085,0.0283,0.048676456967484794,0.02792,0.5836,0.4164,0.0
ImageNet,20,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.12738549709320068,0.0377,0.04993873415340408,0.03764,0.63218,0.36782000000000004,0.0
ImageNet,21,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.095,0.0286,0.0489764569674848,0.03016,0.5965,0.40349999999999997,0.0
ImageNet,21,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.14266979694366455,0.0377,0.04993873415340408,0.04118,0.647,0.353,0.0
ImageNet,22,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.09,0.0293,0.049676456967484794,0.02906,0.59012,0.40988,0.0
ImageNet,22,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.12017202377319336,0.0377,0.04993873415340408,0.03604,0.62448,0.37551999999999996,0.0
ImageNet,23,0.05,0.05,50000,0.21688,202,0.67742,0.04926,fixed_price_uniform_ucb,10000,0.020376456967484798,0.1,0.0293,0.049676456967484794,0.03152,0.6028,0.3972,0.0
ImageNet,23,0.05,0.05,50000,0.21688,202,0.67742,0.04926,original_pac_hoeffding,10000,0.012238734153404082,0.1303895115852356,0.0377,0.04993873415340408,0.0383,0.63498,0.36502,0.0
