dataset,epsilon,audit_prob,n,model_error,trials,eta,rho,init_lambda,theory_h_bound_delta_0_05,violation_rate_final,violation_rate_counterfactual,mean_final_error,q95_final_error,mean_counterfactual_ai_error,mean_ipw_error_estimate,mean_budget_saved,mean_expert_query_rate,mean_audit_rate,mean_deferral_rate,mean_ai_attempt_rate,mean_released_ai_rate,mean_final_lambda
ImageNet,0.05,0.1,50000,0.21688,500,1.0,0.01,20.0,0.16166656610223948,0.01,0.238,0.043386560000000005,0.0479,0.048214440000000004,0.0482788,0.57165044,0.42834956,0.06354368,0.36480588,0.63519412,0.57165044,11.26999999999943
ImageNet,0.05,0.2,50000,0.21688,500,1.0,0.01,20.0,0.10683328305111973,0.0,0.348,0.0394446,0.04260099999999998,0.04931676,0.049360799999999996,0.52347336,0.47652664,0.13095576,0.34557087999999997,0.65442912,0.52347336,8.06629999999921
ImageNet,0.05,0.5,50000,0.21688,500,1.0,0.01,20.0,0.0739333132204479,0.0,0.376,0.024828839999999998,0.02638,0.04969296,0.04972824,0.33423959999999997,0.6657604,0.33442628,0.33133412,0.66866588,0.33423959999999997,6.873999999997462
ImageNet,0.1,0.1,50000,0.21688,500,1.0,0.01,10.0,0.21166656610223947,0.0,0.0,0.07598048,0.08104599999999999,0.08441744,0.0843696,0.65596956,0.34403044,0.07289243999999999,0.271138,0.728862,0.65596956,7.040400000000015
ImageNet,0.1,0.2,50000,0.21688,500,1.0,0.01,10.0,0.15683328305111974,0.0,0.0,0.07251139999999999,0.07604,0.09063084,0.0905972,0.6076262,0.3923738,0.15193936,0.24043444,0.75956556,0.6076262,4.801600000000042
ImageNet,0.1,0.5,50000,0.21688,500,1.0,0.01,10.0,0.1239333132204479,0.0,0.026,0.0488074,0.050844,0.097636,0.0976572,0.39453,0.6054700000000001,0.394407,0.211063,0.788937,0.39453,3.362200000000037
ImageNet,0.15,0.1,50000,0.21688,500,1.0,0.01,6.666666666666667,0.2616665661022395,0.0,0.0,0.09778384,0.102343,0.10864928,0.1086544,0.7047616400000001,0.29523836,0.07826676,0.2169716,0.7830284000000001,0.70476164,4.642699999999989
ImageNet,0.15,0.2,50000,0.21688,500,1.0,0.01,6.666666666666667,0.20683328305111973,0.0,0.0,0.09498492,0.098401,0.11870316,0.1185912,0.6552488399999999,0.34475116,0.16374268,0.18100848,0.8189915200000001,0.6552488399999999,3.07749999999999
ImageNet,0.15,0.5,50000,0.21688,500,1.0,0.01,6.666666666666667,0.17393331322044792,0.0,0.0,0.06743736,0.06974,0.13493188,0.13498903999999998,0.43085032,0.56914968,0.43131256,0.13783712,0.86216288,0.43085032,2.2956
ImageNetV2,0.05,0.1,10000,0.3533,500,1.0,0.01,20.0,0.30577468306808164,0.156,0.434,0.0442652,0.054,0.0491764,0.049112,0.4122522,0.5877477999999999,0.0458414,0.5419064,0.4580936,0.4122522,14.191799999998512
ImageNetV2,0.05,0.2,10000,0.3533,500,1.0,0.01,20.0,0.18288734153404082,0.008,0.396,0.0394174,0.047,0.0492348,0.049087000000000006,0.3748188,0.6251812,0.0935938,0.5315874,0.4684126,0.3748188,11.225299999996482
ImageNetV2,0.05,0.5,10000,0.3533,500,1.0,0.01,20.0,0.10915493661361633,0.0,0.308,0.0244434,0.028,0.048921799999999994,0.0489568,0.2372004,0.7627996,0.2371944,0.5256052,0.47439479999999995,0.2372004,9.567999999995749
ImageNetV2,0.1,0.1,10000,0.3533,500,1.0,0.01,10.0,0.35577468306808163,0.026,0.19,0.0845302,0.0971,0.09386879999999999,0.093386,0.5029395999999999,0.4970604,0.05579,0.4412704,0.5587296,0.5029395999999999,8.242800000000008
ImageNetV2,0.1,0.2,10000,0.3533,500,1.0,0.01,10.0,0.23288734153404084,0.0,0.28,0.0774268,0.08661499999999998,0.0968538,0.097135,0.4644752,0.5355248,0.1160052,0.41951960000000005,0.5804804,0.4644752,6.052400000000119
ImageNetV2,0.1,0.5,10000,0.3533,500,1.0,0.01,10.0,0.15915493661361635,0.0,0.404,0.0496698,0.054505,0.0993412,0.0993428,0.3001284,0.6998715999999999,0.30036619999999997,0.3995054,0.6004946,0.3001284,4.918600000000588
ImageNetV2,0.15,0.1,10000,0.3533,500,1.0,0.01,6.666666666666667,0.4057746830680816,0.0,0.006,0.1146758,0.1279,0.127526,0.128502,0.5600872,0.4399128,0.062363,0.3775498,0.6224502,0.5600872,6.423499999999987
ImageNetV2,0.15,0.2,10000,0.3533,500,1.0,0.01,6.666666666666667,0.2828873415340408,0.0,0.016,0.10963840000000001,0.11970499999999999,0.1370772,0.137194,0.5252874000000001,0.4747126,0.1313646,0.343348,0.656652,0.5252874000000001,4.484499999999975
ImageNetV2,0.15,0.5,10000,0.3533,500,1.0,0.01,6.666666666666667,0.20915493661361634,0.0,0.186,0.07339520000000001,0.0789,0.1469562,0.147122,0.3450786,0.6549214,0.3455216,0.3093998,0.6906002,0.3450786,3.2392999999999845
